日期,目標股,趨勢延續分數,趨勢延續分數_100,趨勢延續標籤,信心,主要貢獻1,收盤價,5日均線,20日均線,均線排列,均線濾網,均線濾網註記
2026-09-11,6531.TW,-0.219,-21.9,弱偏空延續,納入 5 檔關聯股；其中天數樣本最少的一檔為 105 天（樣本尚可（100–200，具參考意義））,Samsung Electro-Mechanics,988.0,983.2,918.4,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,6770.TW,-0.32,-32.0,弱偏空延續,納入 5 檔關聯股；其中天數樣本最少的一檔為 105 天（樣本尚可（100–200，具參考意義））,Murata,70.7,72.24,70.4,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,2303.TW,-0.184,-18.4,弱偏空延續,納入 5 檔關聯股；其中天數樣本最少的一檔為 103 天（樣本尚可（100–200，具參考意義））,TDK,140.5,141.3,127.88,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,2421.TW,0.024,2.4,方向不明/觀望,納入 6 檔關聯股；其中天數樣本最少的一檔為 244 天（樣本充足（>200，具統計意義））,台達電,164.5,167.8,159.65,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,4931.TW,0.09,9.0,方向不明/觀望,納入 6 檔關聯股；其中天數樣本最少的一檔為 248 天（樣本充足（>200，具統計意義））,,234.0,245.0,256.27,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,6830.TW,-1.0,-100.0,強烈偏空延續,納入 3 檔關聯股；其中天數樣本最少的一檔為 242 天（樣本充足（>200，具統計意義））,日月光,551.0,578.6,522.42,多頭排列,訊號未過濾(偏空),分數強烈偏空，但均線還不是空頭排列或尚未跌破5日線，暫不列入留意名單
2026-09-11,7711.TW,-0.032,-3.2,方向不明/觀望,納入 6 檔關聯股；其中天數樣本最少的一檔為 181 天（樣本尚可（100–200，具參考意義））,華擎,531.0,597.8,538.7,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,3234.TW,-0.43,-43.0,中度偏空延續,納入 5 檔關聯股；其中天數樣本最少的一檔為 252 天（樣本充足（>200，具統計意義））,華星光,187.5,197.3,178.84,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,6291.TW,-0.345,-34.5,弱偏空延續,納入 5 檔關聯股；其中天數樣本最少的一檔為 256 天（樣本充足（>200，具統計意義））,上詮,478.0,471.5,420.95,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,4908.TW,-0.182,-18.2,弱偏空延續,納入 2 檔關聯股；其中天數樣本最少的一檔為 253 天（樣本充足（>200，具統計意義））,建準,237.5,239.1,196.35,多頭排列,,非強烈訊號，不套用均線濾網
